District,TG Math Target,TG Math Received,TG Hindi Target,TG Hindi Received,Teacher Diary Target,Teacher Diary Received
Agra,6474,0,6474,0,10579,0
Aligarh,5514,0,5514,0,9413,0
Ambedkar Nagar,4224,0,4224,0,7905,0
Amethi,4248,0,4248,0,5737,0
Amroha,3378,0,3378,0,5635,0
Auraiya,3336,0,3336,0,5576,0
Ayodhya,4794,0,4794,0,8108,0
Azamgarh,7164,0,7164,0,14637,0
Baghpat,1518,0,1518,0,2763,0
Bahraich,7650,0,7650,0,10787,0
Ballia,6282,0,6282,0,11248,0
Balrampur,4842,0,4842,0,6184,0
Banda,4251,0,4251,0,6738,0
Barabanki,6747,0,6747,0,11759,0
Bareilly,6474,0,6474,0,11461,0
Basti,5484,0,5484,0,7937,0
Bhadohi,2358,0,2358,0,5387,0
Bijnor,5457,0,5457,0,9854,0
Budaun,5694,0,5694,0,8840,0
Bulandshahr,5088,0,5088,0,9314,0
Chandauli,3117,0,3117,0,6407,0
Chitrakoot,2997,0,2997,0,5296,0
Deoria,5877,0,5877,0,9453,0
Etah,4206,0,4206,0,6065,0
Etawah,3876,0,3876,0,6388,0
Farrukhabad,3930,0,3930,0,6307,0
Fatehpur,5862,0,5862,0,9577,0
Firozabad,4665,0,4665,0,7422,0
Gautam Buddha Nagar,1458,0,1458,0,3094,0
Ghaziabad,1266,0,1266,0,2584,0
Ghazipur,6063,0,6063,0,11129,0
Gonda,6885,0,6885,0,11065,0
Gorakhpur,6765,0,6765,0,12141,0
Hamirpur,2385,0,2385,0,3924,0
Hapur,1356,0,1356,0,2674,0
Hardoi,8844,0,8844,0,13517,0
Hathras,3246,0,3246,0,5795,0
Jalaun,3756,0,3756,0,5085,0
Jaunpur,7578,0,7578,0,15677,0
Jhansi,3654,0,3654,0,6398,0
Kannauj,3771,0,3771,0,6345,0
Kanpur Dehat,4989,0,4989,0,7308,0
Kanpur Nagar,4884,0,4884,0,8085,0
Kasganj,3090,0,3090,0,4911,0
Kaushambi,2949,0,2949,0,6130,0
Kheri,8397,0,8397,0,11535,0
Kushi Nagar,6795,0,6795,0,9674,0
Lalitpur,3246,0,3246,0,5216,0
Lucknow,4221,0,4221,0,7023,0
Maharajganj,4668,0,4668,0,7259,0
Mahoba,2004,0,2004,0,3575,0
Mainpuri,4977,0,4977,0,7013,0
Mathura,4044,0,4044,0,7723,0
Mau,3342,0,3342,0,6030,0
Meerut,2958,0,2958,0,5081,0
Mirzapur,5094,0,5094,0,7821,0
Moradabad,3699,0,3699,0,7452,0
Muzaffarnagar,2616,0,2616,0,5123,0
Pilibhit,3774,0,3774,0,5346,0
Pratapgarh,6375,0,6375,0,10457,0
Prayagraj,7764,0,7764,0,14593,0
Rae Bareli,6276,0,6276,0,9544,0
Rampur,3933,0,3933,0,6865,0
Saharanpur,4032,0,4032,0,7734,0
Sambhal,3261,0,3261,0,5031,0
Sant Kabeer Nagar,3333,0,3333,0,4615,0
Shahjahanpur,7086,0,7086,0,9340,0
Shamli,1611,0,1611,0,2856,0
Shravasti,2739,0,2739,0,3531,0
Siddharth Nagar,6033,0,6033,0,8380,0
Sitapur,9279,0,9279,0,17035,0
Sonbhadra,5631,0,5631,0,6508,0
Sultanpur,5445,0,5445,0,9880,0
Unnao,7089,0,7089,0,11833,0
Varanasi,3204,0,3204,0,8342,0
