District,Block,Block Code,TG Math,TG Hindi,Teacher Diary,Scan Date
Agra,Achhnera,101,0,0,0,
Agra,Achhnera (Mb),102,0,0,0,
Agra,Agra (M. Corp.),103,0,0,0,
Agra,Akola,104,0,0,0,
Agra,Baah (Np),105,0,0,0,
Agra,Bah,106,0,0,0,
Agra,Barauli Ahir,107,0,0,0,
Agra,Bichpuri,108,0,0,0,
Agra,Etmadpur (Mb),109,0,0,0,
Agra,Ettmadpur,110,0,0,0,
Agra,Fatehabad,111,0,0,0,
Agra,Fatehabad (Np),112,0,0,0,
Agra,Fatehpur Sikri,113,0,0,0,
Agra,Fatehpursikari (Mb),114,0,0,0,
Agra,Jagner,115,0,0,0,
Agra,Jagner (Np),116,0,0,0,
Agra,Jaitpur Kalan,117,0,0,0,
Agra,Khandauli,118,0,0,0,
Agra,Kheragarh,119,0,0,0,
Agra,Kheragarh (Np),120,0,0,0,
Agra,Kiraoli (Np),121,0,0,0,
Agra,Pinahat,122,0,0,0,
Agra,Pinahat (Np),123,0,0,0,
Agra,Saiyan,124,0,0,0,
Agra,Shamsabad,125,0,0,0,
Agra,Shamshabad (Np),126,0,0,0,
Aligarh,Akrabad,201,0,0,0,
Aligarh,Aligarh,202,0,0,0,
Aligarh,Atrauli,203,0,0,0,
Aligarh,Bijauli,204,0,0,0,
Aligarh,Chandaus,205,0,0,0,
Aligarh,Dhanipur,206,0,0,0,
Aligarh,Gangiri,207,0,0,0,
Aligarh,Gonda,208,0,0,0,
Aligarh,Iglas,209,0,0,0,
Aligarh,Jawan,210,0,0,0,
Aligarh,Khair,211,0,0,0,
Aligarh,Lodha,212,0,0,0,
Aligarh,Tappal,213,0,0,0,
Ambedkar Nagar,Akbarpur,301,0,0,0,
Ambedkar Nagar,Baskhari,302,0,0,0,
Ambedkar Nagar,Bhiti,303,0,0,0,
Ambedkar Nagar,Bhiyaon,304,0,0,0,
Ambedkar Nagar,Jahangirganj,305,0,0,0,
Ambedkar Nagar,Jalalpur,306,0,0,0,
Ambedkar Nagar,Katehari,307,0,0,0,
Ambedkar Nagar,Ramnagar,308,0,0,0,
Ambedkar Nagar,Tanda,309,0,0,0,
Ambedkar Nagar,Tanda Town Area,310,0,0,0,
Amethi,Amethi,401,0,0,0,
Amethi,Bahadurpur,402,0,0,0,
Amethi,Bhadar,403,0,0,0,
Amethi,Bhetua,404,0,0,0,
Amethi,Gauriganj,405,0,0,0,
Amethi,Jagdishpur,406,0,0,0,
Amethi,Jamo,407,0,0,0,
Amethi,Musafirkhana,408,0,0,0,
Amethi,Sangrampur,409,0,0,0,
Amethi,Shahgarh,410,0,0,0,
Amethi,Shukul Bazar,411,0,0,0,
Amethi,Singhpur,412,0,0,0,
Amethi,Tiloi,413,0,0,0,
Amroha,Amroha,501,0,0,0,
Amroha,Dhanaura,502,0,0,0,
Amroha,Gajraula,503,0,0,0,
Amroha,Gangeshwari,504,0,0,0,
Amroha,Hasanpur,505,0,0,0,
Amroha,Joya,506,0,0,0,
Auraiya,Achhalda,601,0,0,0,
Auraiya,Ajitmal,602,0,0,0,
Auraiya,Auraiya,603,0,0,0,
Auraiya,Bhagyanagar,604,0,0,0,
Auraiya,Bhagyanager,605,0,0,0,
Auraiya,Bidhuna,606,0,0,0,
Auraiya,Erwa Katra,607,0,0,0,
Auraiya,Nagar Achhalda,608,0,0,0,
Auraiya,Nagar Auraiya,609,0,0,0,
Auraiya,Sahar,610,0,0,0,
Ayodhya,Amaniganj,701,0,0,0,
Ayodhya,Bikapur,702,0,0,0,
